'Time [W]';'Power [W]'
0.0;203.0
0.16666666666666666;197.0
0.3333333333333333;163.0
0.5;140.0
0.6666666666666666;144.0
0.8333333333333334;113.0
1.0;111.0
1.1666666666666667;102.0
1.3333333333333333;105.0
1.5;79.0
1.6666666666666665;90.0
1.8333333333333335;74.0
2.0;85.0
2.166666666666667;76.0
2.3333333333333335;84.0
2.4999999999999996;93.0
2.6666666666666665;89.0
2.8333333333333335;92.0
3.0;75.0
3.166666666666667;65.0
3.3333333333333335;70.0
3.4999999999999996;73.0
3.6666666666666665;62.0
3.8333333333333335;58.0
4.0;61.0
4.166666666666666;64.0
4.333333333333334;54.0
4.5;62.0
4.666666666666667;53.0
4.833333333333333;59.0
5.0;60.0
5.166666666666666;51.0
5.333333333333334;64.0
5.5;92.0
5.666666666666667;72.0
5.833333333333333;116.0
6.0;125.0
6.166666666666666;124.0
6.333333333333334;121.0
6.5;127.0
6.666666666666667;148.0
6.833333333333333;150.0
7.0;190.0
7.166666666666666;222.0
7.333333333333334;246.0
7.5;269.0
7.666666666666667;239.0
7.833333333333333;280.0
8.0;299.0
8.166666666666666;362.0
8.333333333333332;367.0
8.500000000000002;381.0
8.666666666666668;380.0
8.833333333333334;386.0
9.0;361.0
9.166666666666666;337.0
9.333333333333332;335.0
9.500000000000002;307.0
9.666666666666668;289.0
9.833333333333334;272.0
10.0;260.0
10.166666666666666;233.0
10.333333333333332;226.0
10.500000000000002;220.0
10.666666666666668;201.0
10.833333333333334;223.0
11.0;211.0
11.166666666666666;216.0
11.333333333333332;227.0
11.500000000000002;199.0
11.666666666666668;197.0
11.833333333333334;183.0
12.0;206.0
12.166666666666666;232.0
12.333333333333332;207.0
12.500000000000002;201.0
12.666666666666668;193.0
12.833333333333334;195.0
13.0;191.0
13.166666666666666;178.0
13.333333333333332;179.0
13.500000000000002;186.0
13.666666666666668;178.0
13.833333333333334;180.0
14.0;151.0
14.166666666666666;155.0
14.333333333333332;147.0
14.500000000000002;139.0
14.666666666666668;156.0
14.833333333333334;149.0
15.0;149.0
15.166666666666666;124.0
15.333333333333332;128.0
15.500000000000002;129.0
15.666666666666668;146.0
15.833333333333334;137.0
16.0;146.0
16.166666666666668;155.0
16.333333333333332;153.0
16.5;166.0
16.666666666666664;148.0
16.833333333333332;161.0
17.0;181.0
17.166666666666668;173.0
17.333333333333332;170.0
17.5;182.0
17.666666666666664;169.0
17.833333333333332;248.0
18.0;240.0
18.166666666666668;211.0
18.333333333333332;225.0
18.5;218.0
18.666666666666664;241.0
18.833333333333332;236.0
19.0;245.0
19.166666666666668;249.0
19.333333333333332;255.0
19.5;250.0
19.666666666666664;255.0
19.833333333333332;280.0
20.0;284.0
20.166666666666668;337.0
20.333333333333332;352.0
20.5;333.0
20.666666666666664;337.0
20.833333333333332;320.0
21.0;322.0
21.166666666666668;312.0
21.333333333333332;315.0
21.5;303.0
21.666666666666664;302.0
21.833333333333332;285.0
22.0;262.0
22.166666666666668;273.0
22.333333333333332;267.0
22.5;274.0
22.666666666666664;262.0
22.833333333333332;242.0
23.0;240.0
23.166666666666668;223.0
23.333333333333332;252.0
23.5;233.0
23.666666666666664;219.0
23.833333333333332;228.0
