ID Number;Name;Nickname;Type;Week behaviour;Season behaviour;Class;Distribution North;Distribution Centre;Distribution South;Average power;Time on;Number of cycles weekday;Number of cycles weekend day;Instant peak 1 weekday;Instant peak 2 weekday;Instant peak 3 weekday;Instant peak 1 weekend day;Instant peak 2 weekend day;Instant peak 3 weekend day
(/);(/);(/);(/);(/);(/);(/);(-);(-);(-);(W);(min/day);(-);(-);(min);(min);(min);(min);(min);(min)
0;Air_conditioner;ac;continuous;wde;sawp;ac_machine;0.32;0.25;0.32;1000;360;2;2;350;1050;0;350;1050;0
1;Lighting;lux;continuous;wde;s,w,ap;light;1;1;1;-1;-1;2;2;0;0;0;0;0;0
2;Fridge;frg;continuous;wde;sawp;refrigerating;1;1;1;150;1440;0;0;0;0;0;0;0;0
3;Freezer;frz;continuous;wde;sawp;refrigerating;0.28;0.26;0.21;200;1440;0;0;0;0;0;0;0;0
4;Electric_oven;elo;uniform;wd,we;sawp;ovens;1;1;1;2000;60;1;2;0;0;0;200;900;0
5;Microwave_oven;mwo;uniform;wd,we;sawp;ovens;0.75;0.7;0.6;1100;11;1;2;0;0;0;200;900;0
6;Electric_boiler;bo;uniform;wde;sawp;boiler;0.22;0.3;0.38;1255;200;2;2;300;900;0;300;900;0
7;Iron;ir;uniform;wde;sawp;cleaning;1;1;1;1500;15;3;3;300;650;1050;300;650;1050
8;Vacuum_cleaner;vc;uniform;wd,we;sawp;cleaning;1;1;1;1300;12;1;1;0;0;0;0;0;0
9;Washing_machine;wm;duty_cycle;wd,we;sawp;washing;1;1;1;1900;90;1;1;0;0;0;0;0;0
10;Dish_washer;dw;duty_cycle;wd,we;sawp;washing;0.5;0.5;0.3;2100;110;3;2;350;770;1100;350;1100;0
11;Tumble_drier;td;duty_cycle;wd,we;sawp;washing;0.1;0.1;0.1;1900;90;1;1;0;0;0;0;0;0
12;PC;pc;uniform;wde;sawp;electronics;0.5;0.5;0.5;120;180;1;1;0;0;0;0;0;0
13;TV;tv;uniform;wde;sawp;audiovideo;1;1;1;200;240;3;3;300;650;1050;300;650;1050
14;Laptop;lap;uniform;wde;sawp;electronics;0.4;0.4;0.4;70;140;1;1;0;0;0;0;0;0
15;Hifi_stereo;hs;uniform;wde;sawp;audiovideo;0.6;0.6;0.6;100;90;2;2;650;1050;0;350;1050;0
16;DVD_reader;vr;uniform;wde;sawp;audiovideo;0.8;0.8;0.8;80;180;2;2;650;1050;0;350;1050;0
