'Time (h)';'Month 0 (kWh/h/kWp)';'Month 1 (kWh/h/kWp)';'Month 2 (kWh/h/kWp)';'Month 3 (kWh/h/kWp)';'Month 4 (kWh/h/kWp)';'Month 5 (kWh/h/kWp)';'Month 6 (kWh/h/kWp)';'Month 7 (kWh/h/kWp)';'Month 8 (kWh/h/kWp)';'Month 9 (kWh/h/kWp)';'Month 10 (kWh/h/kWp)';'Month 11 (kWh/h/kWp)'
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.0;0.0;0.0;0.0;0.0;6.295698924731183e-05;0.0019345;6.424731182795698e-05;0.0;0.0;0.0;0.0;0.0
5.0;0.0;0.0;0.0;0.0050871388888888884;0.027462903225806426;0.037645194444444446;0.02993615591397846;0.010959166666666667;1.822222222222222e-05;0.0;0.0;0.0
6.0;0.0;0.0;0.014295698924731199;0.0661543888888889;0.10322096774193557;0.110118111111111;0.09787411290322577;0.07854741935483861;0.05298316666666666;0.015029274193548386;0.0;0.0
7.0;9.24731182795699e-06;0.05544244837758112;0.14443602150537635;0.2068105000000002;0.2500918817204301;0.255938277777778;0.252461801075269;0.23600545698924713;0.19503202777777784;0.13634120967741928;0.07376191666666662;0.0005876344086021506
8.0;0.16454255376344093;0.2042038053097345;0.2994093548387098;0.3502412222222224;0.39452586021505354;0.3968639722222222;0.41157067204301057;0.3919052688172041;0.3568507499999996;0.2608988440860215;0.19989086111111104;0.1932614247311829
9.0;0.28497145161290344;0.3183818289085547;0.4334117473118279;0.45732161111111114;0.5048643279569897;0.5043653888888885;0.5404906989247313;0.5245040860215054;0.4778722499999999;0.353160134408602;0.289021277777778;0.297614623655914
10.0;0.36739349462365606;0.3933081120943954;0.521185806451613;0.5353211944444444;0.5730754301075268;0.5818375277777779;0.6180177419354836;0.6074856989247316;0.5549034999999998;0.439292419354839;0.36025416666666665;0.38063784946236606
11.0;0.4267317741935486;0.45280852507374636;0.5854838978494623;0.5819947499999998;0.5914058602150534;0.6044506944444451;0.6588930107526889;0.6444615860215053;0.5969683333333337;0.46896069892473136;0.3954706111111115;0.42463252688172054
12.0;0.42206892473118246;0.46525935103244836;0.5787368548387096;0.5671705000000001;0.5812152688172042;0.5992350000000001;0.6489070967741933;0.6393452419354839;0.5878228611111106;0.46639965053763455;0.388080611111111;0.43070086021505377
13.0;0.4093980107526881;0.4367984660766961;0.5394818817204301;0.5231685277777781;0.5303351612903229;0.541862305555556;0.5916060483870962;0.5888618010752689;0.533121333333333;0.41288989247311814;0.3424254722222222;0.38649083333333306
14.0;0.32251989247311796;0.36195454277286154;0.4569706451612906;0.43768208333333364;0.4540516666666666;0.45155594444444436;0.5035988172043009;0.4806827956989247;0.4161676111111108;0.3116787634408603;0.25577616666666675;0.2921318279569892
15.0;0.1971403225806452;0.24957115044247774;0.3296478494623659;0.3227549999999996;0.3293222580645163;0.3409833888888891;0.37613104838709677;0.35351481182795685;0.2893288333333335;0.19435913978494607;0.12578630555555553;0.13314787634408606
16.0;0.00028370967741935487;0.087012005899705;0.17202018817204293;0.1842246111111112;0.18729548387096773;0.20784299999999994;0.2307405376344086;0.20228862903225797;0.1443393055555554;0.04236720430107529;2.4722222222222226e-05;0.0
17.0;0.0;0.0;0.013672392473118277;0.04535230555555553;0.06422575268817202;0.08009750000000003;0.08754545698924734;0.06435795698924732;0.01540666666666668;0.0;0.0;0.0
18.0;0.0;0.0;0.0;0.00021350000000000004;0.010335913978494624;0.023174305555555566;0.022981801075268822;0.005447903225806451;0.0;0.0;0.0;0.0
19.0;0.0;0.0;0.0;0.0;0.0;7.752777777777778e-05;4.1478494623655915e-05;0.0;0.0;0.0;0.0;0.0
20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
