'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665
'fridge';'frg';60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141
'freezer';'frz';0.0;62969.93911719939;0.0;0.0;0.0;0.0;62969.93911719939;62969.93911719939;0.0;0.0
'electric_oven';'elo';27627.536184828685;28089.603761803603;27828.434996525248;28822.888685946225;27436.684341760894;26773.719091336723;28812.842915183544;28159.91882293252;27627.536184828692;27436.684341760894
'microwave_oven';'mwo';8927.15051476219;0.0;8927.15051476219;8386.044324629323;8172.788134720364;7959.6250901225685;8386.044324629323;8927.15051476219;0.0;9468.493150684933
'electric_boiler';'bo';0.0;0.0;227910.20193876215;0.0;0.0;0.0;224163.08606010347;0.0;0.0;0.0
'iron';'ir';34856.28891656289;35841.13855577735;36186.065694505814;31310.17351598174;32935.159817351596;36826.34281621894;31950.450637694856;36186.065694505814;34560.478664777205;31950.450637694856
'vacuum_cleaner';'vc';4711.551660568933;4997.260273972603;4824.1409001956945;4997.260273972603;4598.999782561426;5170.511850402261;5283.063728409767;4598.999782561426;4598.999782561426;4598.999782561426
'washing_machine';'wm';47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.41095890411;47522.473455465704;47890.4109589041;47890.41095890412;47890.4109589041
'dish_washer';'dw';68054.79452054796;68054.79452054796;0.0;0.0;0.0;67141.38165229316;0.0;68054.79452054796;0.0;68054.79452054796
'tumble_drier';'td';0.0;0.0;0.0;0.0;47890.4109589041;0.0;0.0;0.0;0.0;0.0
'pc';'pc';33179.07166519576;33894.31733872297;0.0;33998.79142286966;33496.51212216566;0.0;33600.98620631235;0.0;0.0;0.0
'tv';'tv';29787.90543853154;29877.82530837346;30057.13958875512;29842.431937480906;29663.117670485433;29592.36265168409;29842.505828253474;29717.529214243;30037.93384210841;30002.801928317567
'laptop';'lap';15052.924536521608;0.0;0.0;0.0;0.0;0.0;15208.020989724173;0.0;15022.504808198133;15038.9429428195
'hifi_stereo';'hs';13276.811408476024;0.0;13940.460702533099;13672.58561840181;0.0;13696.024305427854;0.0;13699.372517055253;0.0;14027.520449577769
'dvd_reader';'vr';17524.643166847203;17987.044473634833;0.0;17791.00334349452;0.0;17494.81087286555;17635.37332539149;17876.23862689088;17678.066628238776;17707.898969136204
