'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;14401.33650924626;144.0133650924626;189.6959625743376;101.87168488284891;52.402010843955594
60;11447.511956516646;114.47511956516647;147.77140124078906;93.40709081951486;46.73410612636992
120;8782.333498420889;87.82333498420888;102.66950205257002;48.26189419631684;31.96134523873811
180;8021.588208812125;80.21588208812125;89.0777152989856;41.18814225208623;24.970698770591483
240;7918.665169684846;79.18665169684846;87.35487889276688;39.4819894444797;23.247862364372764
300;8239.281638103512;82.39281638103512;110.99402147536165;37.32950830133496;24.50810499565614
360;9967.796458893668;99.67796458893669;123.26522756318833;52.56262040454933;36.81010602558968
420;11270.513185638409;112.70513185638409;138.0447733298215;67.32785255485565;51.4502352260722
480;13686.67396400615;136.8667396400615;156.62036321307235;66.03247483948311;50.002108828305225
540;19274.799337895416;192.74799337895416;314.6824656280333;109.12396957424863;62.17819561081501
600;25487.55763207447;254.8755763207447;471.8159284202595;132.87793060363498;58.078963283733856
660;22035.103410026353;220.35103410026352;415.9733317777213;140.49083558289635;57.982464197812575
720;22065.438823595807;220.65438823595807;463.06577996398136;123.18355539467012;54.83233714129924
780;21246.164626174654;212.46164626174652;318.1978331396035;120.98747186637571;62.646240999944546
840;19817.74073729337;198.17740737293371;343.74532976771434;126.93213484019907;64.5616301888176
900;21452.39626252448;214.5239626252448;361.2888605132883;143.79776450648635;83.0398983726982
960;21377.41867793658;213.7741867793658;302.4149883418395;153.7077121029778;78.71409102237926
1020;25597.504318686177;255.97504318686177;401.8358033566603;198.84136393666333;108.33877205018813
1080;26838.84543119373;268.3884543119373;394.35829577401563;209.44862903012523;134.9851250992203
1140;26891.639416297894;268.9163941629789;360.71334709516896;199.10722950037183;129.6840909736253
1200;29043.504606945608;290.43504606945606;463.5463789889889;212.96012924902848;135.45419474579222
1260;31838.41033331716;318.3841033331716;574.791301096475;213.54393599732282;126.72041493209241
1320;29459.052372093032;294.5905237209303;541.3314930226638;205.43645424338922;126.12341674462887
1380;24821.982139899283;248.21982139899282;447.3443629330422;152.13988267698383;77.44943009622858
