'App_name';'App_nickname';0;1;2;3;4
'air_conditioner';'ac';0.0;0.0;0.0;705263.3181126332;705263.3181126332
'lighting';'lux';88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333
'fridge';'frg';72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137
'freezer';'frz';0.0;0.0;0.0;0.0;75563.92694063927
'electric_oven';'elo';23931.042195854112;24523.680694266113;25518.112659281964;24332.831775023562;25648.695069330995
'microwave_oven';'mwo';0.0;0.0;8500.731280255433;8500.731280255433;8386.044324629323
'electric_boiler';'bo';0.0;156281.52515977173;0.0;0.0;158056.84434261196
'iron';'ir';35841.138555777354;37466.72558550596;35200.75578649032;39733.00124533001;34560.478664777205
'vacuum_cleaner';'vc';5170.511850402261;4711.551660568933;4884.708395965096;5283.063728409767;4997.260273972603
'washing_machine';'wm';47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47706.4422071849
'dish_washer';'dw';68054.79452054796;0.0;68054.79452054796;0.0;0.0
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0
'pc';'pc';0.0;0.0;33021.99018545135;33070.57940968143;0.0
'tv';'tv';30002.801928317564;29967.482446912065;29912.883155217438;30342.412330199826;29644.173394412603
'laptop';'lap';0.0;0.0;15208.020989724173;0.0;14914.372936366495
'hifi_stereo';'hs';13896.930874058666;0.0;13849.424981052565;13524.991561648781;0.0
'dvd_reader';'vr';17539.559337776525;17763.30188296664;0.0;17776.087179468414;17469.04272930666
